"","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10","Topic11","Topic12"
"2021-06-01",0.0434992232281566,0.133952965125623,0.0428295923287084,0.0484544918840735,0.0840520704987411,0.0685166336315423,0.0657845395617935,0.252156211496223,0.106551668720201,0.0273745111694434,0.0601596400064285,0.0666684523490652
"2021-07-01",0.0334969122187914,0.118190339655933,0.0409958094397883,0.108596162329069,0.138619320688134,0.0579786060873401,0.0813299514777239,0.119182840758712,0.0995533745037494,0.0326146890163211,0.0645125716806352,0.104929422143802
"2021-08-01",0.0330104243445299,0.144229756765294,0.0605191112983047,0.0483047278087817,0.102190165315363,0.0769190270611772,0.0779193429504054,0.150179003895967,0.0766821101400442,0.0695482784037064,0.112693482152259,0.0478045698641676
"2021-09-01",0.0407549356031909,0.188733900797718,0.0571326707963813,0.0305494897277062,0.123490351619947,0.0391505860332457,0.0666027897856411,0.197112170774099,0.0694104015330451,0.0167565399527608,0.0843397655867017,0.0859663977895628
"2021-10-01",0.0419223372103672,0.158622584485759,0.0402738346002381,0.0572396739628171,0.11821137466801,0.0685273376682846,0.0551790457001557,0.212885795402509,0.0526605000457917,0.00821961718106054,0.0740681381078853,0.112189760967122
"2021-11-01",0.0579638222376616,0.196868564055483,0.0512890498995062,0.037815438822858,0.113744075829384,0.0111163494702365,0.0593285526413737,0.226098607974988,0.0831493015061661,0.01563236644252,0.0774670603707104,0.0695268107491129
"2021-12-01",0.0510185099060552,0.187959259603758,0.0701330108827086,0.0336247790903172,0.120430657613245,0.0113012743000651,0.0854804204260069,0.234094502836945,0.053971723560599,0.011161752395126,0.0605525067435587,0.0802716026416147
"2022-01-01",0.0501442258164211,0.195348717420418,0.0572524981971773,0.0295920469764088,0.0720356443803441,0.0241578242505408,0.07468836921809,0.303775625837025,0.0481868754507057,0.0133151334088802,0.0656227464716184,0.0658802925723704
"2022-02-01",0.0389912468629491,0.10886331639836,0.077003121748179,0.0455407969639469,0.12340086919263,0.0241476403256412,0.0729938177143906,0.175338189386056,0.0459998775785028,0.129460733304768,0.0917549121625758,0.0665054783620004
"2022-03-01",0.028574050845902,0.0316945574693303,0.0903417260684676,0.0635726741518035,0.19136047970141,0.00822957138923731,0.0426775170557102,0.0882307951173249,0.0481231070456145,0.306911004374828,0.0521920029369474,0.048092513843424
